LoanAmount0,LoanPeriod0,Good,PredictedGood0
1500,5,1,416
7600,18,0,-411
1000,2,1,212
4000,10,1,451
1500,5,1,135
1000,4,0,-268
2350,7,0,-299
2300,7,1,420
1000,4,0,-387
700,4,1,597
1000,2,1,496
6500,15,0,-557
1100,3,1,505
24300,30,1,410
1500,5,0,-365
2000,6,1,563
4700,11,1,402
8500,17,1,431
4700,11,0,497
1700,6,1,198
9200,20,1,437
4000,10,0,-379
58000,43,0,-399
4000,10,1,400
1000,4,1,261
700,4,1,472
7000,16,0,265
33800,33,1,422
2000,6,1,416
17400,27,1,425
10000,21,1,384
1500,3,1,571
1000,2,1,683
500,2,1,599
9200,21,1,334
5300,13,0,-443
9200,21,1,530
800,4,0,-167
3500,7,1,562
5000,12,0,-336
12200,24,0,404
30400,33,1,373
2500,5,1,597
7000,14,1,328
6500,13,1,433
4700,12,0,-351
700,2,1,576
71700,43,0,-423
5500,13,1,462
542,4,0,-287
9000,18,1,329
6000,12,1,431
24300,32,0,175
542,2,1,357
5460,13,1,405
1100,3,1,337
500,4,0,-500
2500,7,0,-486
1334,5,0,372
1450,5,1,584
650,4,1,565
5500,13,1,501
2226,7,0,481
5000,12,1,373
3000,6,1,483
650,4,1,550
2782,6,1,-318
2782,6,1,238
1500,5,1,484
10000,21,1,541
3500,9,1,224
1154,5,0,381
10000,20,1,384
5000,12,1,453
5604,11,1,267
850,4,1,341
2000,6,0,-498
3000,8,1,457
1000,4,1,455
500,4,1,652
543,4,1,434
5623,11,1,269
543,2,1,42
3500,9,0,-293
2350,7,1,348
2000,6,1,389
2167,7,1,329
7900,16,1,501
556,4,1,480
500,4,0,-519
7021,14,1,235
3940,10,1,390
4554,11,1,299
1113,3,1,461
1300,5,1,532
7000,17,0,474
15000,28,0,-479
3703,10,1,254
1000,4,0,363
1109,3,1,312
670,4,1,254
600,2,1,381
1200,5,1,532
500,4,1,560
543,4,0,-375
500,4,1,288
3000,6,1,165
652,4,1,451
4000,10,1,397
3000,8,1,582
2000,4,1,328
543,4,1,324
3000,8,1,501
3775,8,1,436
1084,5,1,515
4650,11,1,447
4500,11,1,404
652,4,0,273
3000,8,1,474
5000,12,0,-522
5000,12,0,-426
5000,12,0,-386
15000,25,1,354
6000,12,1,434
1000,4,1,354
11700,23,1,423
1000,2,1,432
500,4,1,645
2230,7,0,292
