ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0
100652,2217,5,1,549
100653,3000,8,1,367
100654,3500,9,1,433
100655,760,4,1,502
100656,2230,7,1,414
100661,7800,19,1,604
100662,5000,10,1,470
100663,869,2,1,428
100665,4500,11,0,553
100666,4500,11,1,532
100667,3423,9,1,436
100668,543,2,1,535
100669,2777,8,1,557
100670,1000,2,1,651
100671,1000,4,1,604
100673,7665,15,1,636
100675,1400,5,1,535
100676,2893,6,1,406
100677,2230,7,1,452
100678,2000,4,1,596
100679,3761,8,1,537
100680,2600,6,1,438
100681,1700,6,1,631
100682,6300,15,1,490
100683,500,4,1,519
100684,1500,5,1,405
100689,3000,8,1,395
100691,8000,20,1,364
100698,2000,6,1,550
100701,3300,7,1,361
100703,6000,14,0,471
100709,2500,7,1,397
100710,3000,8,1,460
100712,2000,6,1,448
100714,1000,4,0,538
100719,2000,4,1,386
100721,4000,10,1,469
100722,2115,7,0,470
100724,4300,11,1,416
100726,1000,2,1,413
100727,3500,7,1,517
100728,1000,4,1,442
100730,8000,18,1,405
100732,5000,12,1,395
100734,6000,14,1,476
100735,11500,23,0,438
100736,1000,4,1,362
100740,1500,5,1,474
100741,3000,6,1,422
100742,1000,4,1,455
100745,1000,2,1,491
100749,1000,4,1,377
100750,1000,2,1,552
100752,3500,9,1,559
100753,3000,8,1,436
100754,5000,12,1,478
100755,1000,2,1,391
100758,3700,10,1,417
100760,2000,4,1,460
100761,2500,5,1,515
100765,2500,8,1,357
100770,500,4,1,485
100771,1500,5,1,416
100774,4000,10,1,451
100778,2300,7,1,420
100780,700,4,1,597
100781,1000,2,1,496
100783,1100,3,1,505
100784,24300,30,1,410
100786,2000,6,1,563
100787,4700,11,1,402
100788,8500,17,1,431
100789,4700,11,0,497
100791,9200,20,1,437
100794,4000,10,1,400
100796,700,4,1,472
100798,33800,33,1,422
100799,2000,6,1,416
100800,17400,27,1,425
100801,10000,21,1,384
100802,1500,3,1,571
100803,1000,2,1,683
100804,500,2,1,599
100807,9200,21,1,530
100809,3500,7,1,562
100811,12200,24,0,404
100812,30400,33,1,373
100813,2500,5,1,597
100815,6500,13,1,433
100817,700,2,1,576
100819,5500,13,1,462
100822,6000,12,1,431
100824,542,2,1,357
100825,5460,13,1,405
100829,1334,5,0,372
100830,1450,5,1,584
100831,650,4,1,565
100832,5500,13,1,501
100833,2226,7,0,481
100834,5000,12,1,373
100835,3000,6,1,483
100836,650,4,1,550
100839,1500,5,1,484
100840,10000,21,1,541
100842,1154,5,0,381
100843,10000,20,1,384
100844,5000,12,1,453
100848,3000,8,1,457
100849,1000,4,1,455
100850,500,4,1,652
100851,543,4,1,434
100856,2000,6,1,389
100858,7900,16,1,501
100859,556,4,1,480
100862,3940,10,1,390
100864,1113,3,1,461
100865,1300,5,1,532
100866,7000,17,0,474
100869,1000,4,0,363
100872,600,2,1,381
100873,1200,5,1,532
100874,500,4,1,560
100878,652,4,1,451
100879,4000,10,1,397
100880,3000,8,1,582
100883,3000,8,1,501
100884,3775,8,1,436
100885,1084,5,1,515
100886,4650,11,1,447
100887,4500,11,1,404
100889,3000,8,1,474
100893,15000,25,1,354
100894,6000,12,1,434
100895,1000,4,1,354
100896,11700,23,1,423
100897,1000,2,1,432
100898,500,4,1,645
100901,15000,28,1,433
100902,834,2,1,459
100904,6179,12,1,382
100905,500,4,1,592
100906,6500,15,1,508
100907,1672,6,1,434
100908,500,2,1,648
100909,5000,10,1,636
100910,7000,14,1,437
100911,1100,5,0,549
100912,1500,5,1,371
100913,4000,8,1,535
100914,6000,14,1,375
100915,2500,5,1,439
100920,500,4,1,598
100925,3000,8,1,467
100926,4700,9,1,356
100927,1000,4,0,444
100928,12200,24,1,371
100930,4700,11,1,401
100931,9200,18,1,361
100937,5000,10,1,391
100939,1000,4,1,358
100940,1500,3,1,489
100941,2000,4,1,439
100943,2500,5,1,364
100945,2150,7,1,457
100946,600,4,1,477
100948,1700,4,1,491
100949,10000,21,1,384
100950,2000,4,1,452
100952,2000,6,1,464
100953,10000,22,0,363
100954,4000,10,1,485
100956,43500,38,1,377
100958,10000,23,1,398
100960,18200,31,1,550
100964,1300,3,1,462
100966,600,4,1,630
100967,6850,14,1,454
100970,500,4,1,606
100971,4700,11,1,372
100975,9500,22,1,374
100976,600,2,1,630
100977,5000,12,1,493
100978,700,4,1,420
100980,10000,20,1,385
100981,2000,6,1,495
100984,5000,10,1,364
100986,5500,11,1,365
100987,1500,5,1,395
100988,5000,10,1,535
100990,4500,11,1,416
100992,500,2,1,649
100993,6000,14,1,581
100994,5500,13,0,425
100995,4500,9,1,485
101002,2500,7,1,461
101003,10000,22,1,496
101005,10000,19,1,454
101006,8000,16,1,364
101011,8000,18,1,454
101012,3500,7,1,381
101013,1000,2,1,590
101014,7000,17,0,399
101015,815,2,1,645
101017,600,2,1,503
101019,4000,8,1,352
101020,1661,6,1,366
101028,10000,21,1,433
101029,10000,21,1,436
101031,651,4,1,424
101036,1500,5,0,513
101038,500,4,1,596
101039,1000,4,1,542
101043,6000,14,1,405
101046,2000,6,1,493
101047,4500,9,1,462
101048,4200,9,1,485
101050,4000,10,1,404
101051,1000,4,1,405
101052,2786,6,1,369
101053,10000,19,1,365
101057,8500,17,1,406
101058,500,4,1,573
101059,5000,12,1,531
101061,2500,5,1,474
101062,1000,4,1,637
101063,5000,12,1,364
101064,6300,13,1,375
101065,1500,3,1,415
101066,7000,15,1,411
101068,3350,7,1,638
101071,3000,6,1,590
101073,5500,11,1,462
101075,500,4,1,533
101076,1900,6,0,556
101077,1000,4,1,552
101078,2300,7,0,518
101079,1500,3,1,374
101080,4000,10,0,500
101081,5500,11,1,364
101082,1000,2,1,712
101083,500,4,1,642
101086,5000,12,1,443
101087,15000,25,1,527
101089,6500,15,1,409
101090,1000,4,1,533
101092,13000,24,1,375
101093,1888,4,1,474
101094,5000,10,1,482
101095,4658,11,0,395
101096,5000,12,1,531
101097,4400,12,1,408
101099,1000,4,0,594
101100,930,2,1,624
101103,2000,6,1,541
101104,1050,5,1,360
101105,600,4,1,591
101106,4350,10,1,567
101107,7500,17,1,465
101109,7000,14,1,529
101110,6458,15,0,391
101111,1100,5,1,434
101112,4000,10,1,428
101115,7500,17,1,528
101116,10000,21,1,478
101118,10000,20,1,611
101119,543,2,1,602
101122,7200,16,1,391
101123,1000,4,1,412
101125,13800,25,1,446
101129,5000,12,1,567
101130,10000,21,1,467
101132,500,4,1,372
101134,700,2,1,481
101139,19700,31,1,457
101142,3600,9,1,381
101143,2000,6,1,360
101146,1000,4,1,461
101147,1500,3,1,431
101150,2500,5,1,513
101151,4450,9,1,463
101152,16200,29,1,380
101153,3000,8,1,404
101154,1000,2,1,410
101155,24000,33,1,579
101156,500,2,1,351
101159,10000,21,1,453
101160,10000,21,1,465
101161,10000,21,1,433
101163,5800,14,1,436
101165,3000,8,1,552
101166,10000,21,1,385
101175,1000,4,1,487
101176,1000,4,1,612
101177,7500,15,1,384
101178,5000,12,1,543
101180,1545,6,1,470
101182,2500,5,1,497
101183,1000,4,1,465
101185,8000,18,0,357
101186,1300,5,1,467
101188,3000,6,1,537
101191,1336,5,1,499
101192,4548,11,1,472
101194,8576,19,1,451
101195,6000,12,1,470
101196,3695,10,1,430
101197,1900,6,1,483
101198,2000,6,1,471
101199,3000,8,1,413
101200,543,2,1,397
101202,3930,10,1,452
101203,1200,3,1,412
101204,2000,6,1,505
101205,4000,10,1,433
101209,5000,10,1,481
101210,2000,6,1,436
101211,15000,26,1,364
101212,6800,16,1,520
101214,7500,17,0,418
101216,7500,15,1,517
101217,5250,13,1,453
101218,1000,2,1,428
101219,706,4,1,532
101221,652,2,1,465
101222,1309,3,1,456
101223,11000,22,1,474
101226,2700,8,1,482
101227,700,2,1,501
101228,10000,21,1,393
101229,4300,11,1,471
101231,3500,9,1,485
101233,3400,7,1,459
101234,9000,20,0,490
101235,2000,4,1,704
101236,4000,10,1,568
101237,3200,7,1,470
101240,2000,4,1,459
101241,3500,7,1,395
101242,12500,24,1,456
101244,4000,10,1,415
101248,5700,11,1,378
101249,9200,20,1,357
101253,500,4,1,401
101259,18200,30,1,366
101260,1400,5,1,373
101264,1000,4,0,458
101265,3400,9,1,505
101268,7200,16,1,497
101269,2500,5,1,531
101270,1500,3,1,420
101274,12200,22,1,466
101276,5000,12,1,355
101280,5375,13,1,461
101281,38700,36,1,414
101284,800,4,1,650
101287,6000,12,1,473
101288,3290,8,1,520
101289,6000,14,1,560
101291,2000,6,1,584
101293,5550,11,1,474
101295,4000,10,0,515
101296,8600,17,1,505
101297,650,2,1,357
101298,2104,5,1,397
101299,2400,7,1,560
101302,1000,2,1,504
101303,6000,14,1,436
101304,700,2,1,612
101307,500,2,1,401
101309,3000,8,1,476
101313,500,4,1,626
101315,3532,9,1,402
101316,543,4,1,421
101317,3006,8,1,382
101318,4000,8,1,552
101320,1000,4,1,666
101322,7900,18,0,385
101323,10000,19,1,454
101326,600,2,1,460
101327,4000,10,1,491
101330,1490,5,1,482
101332,4325,11,1,546
101337,4000,8,1,428
101338,4500,11,1,465
101341,1000,4,1,390
101342,1500,5,1,478
101344,978,4,1,459
101345,5490,11,1,573
101348,1500,5,1,448
101349,1275,3,1,368
101350,2000,6,1,383
101355,6000,14,1,371
101356,11100,23,1,432
101358,65300,40,1,368
101361,2000,4,1,357
101362,4700,11,1,385
101366,5500,11,1,385
101367,5000,10,1,384
101369,4800,10,1,425
101373,5660,11,1,381
101374,8850,19,1,433
101376,3000,8,1,493
101377,5500,11,1,463
101378,10000,22,1,505
101379,3500,9,1,384
101380,12200,24,1,511
101382,8000,19,1,430
101383,6600,13,1,433
101384,1500,5,1,573
101385,5000,10,1,436
101386,2000,6,1,617
101389,9000,20,0,512
101391,58000,41,1,457
101392,2000,4,1,584
101394,1500,3,1,544
101395,1500,5,1,483
101396,8000,18,1,418
101397,4000,8,1,493
101398,2500,5,1,482
101399,2800,8,1,502
101401,3000,6,1,430
101402,7000,15,1,384
101403,22700,31,1,381
101404,4690,12,1,364
101407,6250,12,1,401
101408,5000,10,1,385
101409,8000,16,1,436
101411,2000,6,0,364
101412,10000,19,1,405
101413,7890,17,1,385
101415,760,2,1,682
101416,4000,10,1,436
101419,3000,6,1,381
101420,1666,4,1,386
101423,9680,21,1,372
101426,1000,2,1,550
101427,5000,12,1,543
101428,1200,5,1,362
101429,3000,8,1,384
101430,3000,8,1,400
101431,900,2,1,481
101436,4250,9,1,474
101437,5930,14,1,454
101438,2228,5,1,441
101440,1360,3,1,385
101442,4000,8,1,405
101443,5000,10,1,364
101444,6000,14,1,476
101446,1500,5,0,674
101447,2000,6,1,540
101449,6500,15,1,364
101450,760,2,1,350
101451,2500,7,1,562
101453,4500,9,1,570
101454,5800,12,1,374
101455,8000,16,1,384
101456,5570,13,1,376
101457,500,2,1,561
101459,10000,21,1,384
101460,4200,9,1,444
101461,1200,5,1,488
101462,7000,14,1,394
101463,1500,3,1,384
101465,4800,12,1,561
101466,1663,4,1,601
101467,6500,15,1,453
101468,7000,16,1,433
101469,2564,7,0,380
101470,15000,27,1,364
101472,9600,22,1,433
101473,5185,13,1,439
101474,2000,4,1,616
101475,5000,12,1,438
101476,12000,22,1,487
101477,6500,15,0,354
101480,4500,11,1,546
101481,900,2,1,512
101483,2680,6,1,418
101484,7000,16,1,577
101485,5000,12,1,528
101486,1200,3,1,596
101488,10000,19,1,508
101489,6425,15,1,435
101495,2000,6,1,454
101499,1000,2,1,485
101501,13900,26,1,430
101504,3000,8,1,360
101511,4700,9,1,356
101514,500,4,1,509
101516,10200,23,1,408
101523,2500,5,1,565
101527,5700,13,1,445
101528,4700,9,1,365
101530,1000,4,0,372
101535,2500,7,1,418
101538,1000,4,1,433
101542,7200,14,1,436
101543,4700,9,1,398
101545,9200,18,1,438
101546,4500,9,1,439
101548,5600,13,1,453
101550,9200,21,1,436
101555,9200,18,1,523
101557,3000,6,1,364
101558,6000,14,1,416
101559,25500,33,1,369
101560,10000,19,1,434
101562,6500,14,1,410
101563,105200,51,1,394
101564,9200,20,1,390
101566,5400,11,1,384
101568,6500,15,1,351
101570,10000,21,1,385
101571,5000,10,1,421
101572,4000,10,1,364
101574,750,4,1,621
101575,18200,29,1,451
101576,3000,6,1,469
101578,5700,14,1,455
101579,800,2,1,376
101584,4700,11,1,504
101585,3000,6,1,477
101586,53800,40,1,440
101587,39400,34,1,399
101588,5000,12,1,417
101592,6000,14,1,405
101595,4700,11,1,573
101597,23200,32,1,488
101599,5448,11,1,398
101601,2000,6,1,491
101602,5000,12,1,425
101603,2303,7,1,381
101604,9350,21,1,418
101605,4800,13,1,505
101608,2450,7,0,420
101609,3100,8,0,437
101610,1000,4,1,414
101611,2650,8,1,418
101612,1108,3,1,414
101617,2000,4,1,492
101618,6000,14,1,402
101620,1200,5,1,410
101622,4500,11,1,519
101623,889,4,0,395
101624,1670,6,1,403
101625,4000,10,1,401
101627,1800,6,1,521
101631,4000,10,1,604
101632,1500,3,1,441
101633,5000,10,1,546
101634,500,4,1,440
101635,6900,16,1,364
101636,2150,7,1,510
101637,1300,5,1,461
101639,14500,24,1,405
101640,2000,6,1,505
101641,3500,9,1,441
101642,7250,16,1,453
101643,2700,8,1,505
101645,2000,6,1,462
101648,6500,16,1,364
101651,2000,6,1,385
101652,8000,18,1,433
101653,6000,14,1,405
101655,9200,18,1,384
101656,2600,8,1,439
101657,4650,9,1,450
101659,6100,14,1,495
101661,1897,4,1,464
101662,3316,9,1,449
101664,1800,4,1,363
101665,8000,16,1,501
101666,1000,4,1,416
101667,8100,18,1,470
101668,1007,5,1,492
101669,15000,25,1,351
101670,7000,14,1,360
101672,1000,2,1,600
101674,2200,5,1,580
101675,6600,13,1,414
101676,2000,6,1,354
101678,1500,3,1,422
101679,13000,23,1,384
101681,1500,5,0,601
101682,13250,26,1,405
101684,2500,7,1,435
101685,5000,12,1,570
101686,1800,4,1,375
101687,10000,22,1,436
101688,1300,5,1,451
101689,2060,5,1,577
101691,4000,10,1,433
101692,5000,12,1,453
101693,3000,6,1,505
101694,706,4,1,474
101695,543,4,1,495
101696,7500,15,1,453
101697,500,4,1,548
101701,12000,24,1,487
101702,1000,4,1,404
101703,1000,4,1,418
101705,1000,4,1,442
101711,1301,5,1,533
101713,543,4,1,521
101714,4500,9,1,456
101716,7600,17,1,415
101719,7000,16,1,405
101723,2000,4,1,419
101724,4000,10,1,375
101726,4000,10,1,429
101728,2000,6,1,394
101729,1300,5,1,440
101730,4000,10,1,356
101731,6000,14,1,448
101732,33800,34,1,400
101734,1000,4,1,371
101739,4700,11,1,377
101742,500,4,1,485
101744,550,4,1,420
101748,9200,20,1,401
101750,5700,11,1,480
101751,7600,17,1,519
101752,4700,9,1,517
101753,43500,41,1,381
101755,2500,7,1,478
101756,6600,13,1,476
101758,1106,3,1,501
101759,2000,4,1,398
101760,4350,11,1,588
101761,19600,29,1,374
101762,7000,14,1,453
101763,33800,34,1,532
101764,5000,12,1,543
101766,12200,25,1,515
101767,1200,3,1,374
101768,18200,30,1,360
101769,3850,10,1,356
101770,3000,6,1,570
101771,85500,50,1,352
101774,58000,39,1,420
101775,4500,9,1,505
101776,3000,8,1,416
101777,24300,34,1,540
101779,5000,12,1,453
101780,1000,4,1,471
101783,4000,10,1,364
101784,10000,19,1,453
101787,1000,4,1,632
101789,3000,8,1,463
101790,3308,7,1,551
101791,2000,4,1,543
101793,1082,5,1,582
101795,1200,5,1,551
101796,1113,5,1,579
101798,3700,10,1,493
101800,3000,6,1,510
101801,1670,6,1,472
101802,1084,3,1,408
101803,4500,9,1,474
101804,5500,13,1,530
101805,10000,19,1,354
101806,800,2,1,523
101807,1000,4,1,612
101808,4000,10,1,364
101809,1000,2,1,505
101810,11000,22,1,433
101812,1084,5,1,529
101813,1405,3,1,429
101814,814,2,1,487
101815,1000,4,1,600
101816,1500,5,1,431
101817,1626,4,1,451
101819,6000,12,1,406
101820,7000,15,1,539
101822,2500,5,1,485
101823,1672,4,1,608
101825,2500,7,1,612
101826,5000,12,1,544
101827,3000,6,1,478
101831,2000,6,1,396
101832,3000,6,1,443
101833,1000,2,1,504
101834,543,4,1,426
101835,3000,8,0,384
101836,1000,4,1,441
101837,3418,9,1,433
101838,2000,6,1,543
101839,1500,3,1,611
101841,4000,10,1,530
101842,2700,6,1,386
101843,5750,13,1,469
101844,543,2,1,508
101845,760,4,1,380
101846,5000,10,1,398
101847,4423,11,1,499
101848,14500,26,1,462
101849,5000,12,1,428
101850,4000,10,1,513
101852,6000,14,1,505
101853,1157,5,1,505
101854,6400,15,0,551
101856,543,4,1,449
101857,2000,6,1,562
101858,4500,9,1,528
101859,5000,12,1,395
101860,10000,21,1,487
101861,652,4,1,602
101862,1084,3,1,517
101863,2314,7,1,473
101866,6000,12,1,350
101887,750,4,1,534
101888,6000,14,1,419
101893,39300,36,1,440
101895,5600,13,0,402
101898,6200,14,1,416
101899,3500,9,1,481
101901,8000,18,1,413
101907,2000,6,0,471
101908,1000,4,1,402
101912,2000,6,1,451
101916,5000,10,1,446
101917,4700,11,1,583
101918,2500,5,1,424
101919,2000,4,1,458
101920,3500,9,1,372
101921,6000,14,1,385
101923,500,4,1,583
101924,1000,2,1,372
101926,1500,5,1,449
101928,16345,28,0,416
101932,6150,12,1,466
101934,3500,9,1,530
101938,542,4,0,394
101941,2400,7,1,449
101942,4000,10,1,389
101943,1300,5,1,419
101944,1000,2,1,436
101947,1084,3,1,501
101956,1200,3,1,515
101960,1800,4,1,403
101961,543,4,1,591
101962,1301,5,1,429
101964,1200,5,1,404
101965,2500,5,1,399
101966,2700,8,1,478
101968,3000,8,1,615
101969,1000,2,1,350
101973,869,4,1,549
101974,2300,7,1,573
101975,1000,2,1,440
101976,887,4,1,535
101977,3300,7,1,395
101980,1032,5,1,394
101984,760,2,1,410
101988,2750,8,1,365
101989,8000,18,1,374
101990,4500,11,0,443
101994,5000,10,1,494
101995,1735,4,1,579
101996,10000,21,1,444
