ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
110710,6806,16,0,167,6779.695582,19.086784623,350.0010754528739
110711,6806,15,1,106,6766.1151753,19.113668811,350.0011803005551
110712,5272,13,1,227,5255.924959,15.075437075,350.0026544314484
110715,11675,23,0,-518,11497.602356,37.618747851,350.0000081618675
110717,4500,11,0,-515,4384.972526,25.594399532,350.000066480536
110718,3416,9,0,175,3395.9583117,11.954023312,350.00179516315654
110726,7000,17,1,344,6999.1901871,17.101416114,350.01112627839495
110731,17077,30,0,224,17044.658606,32.119329728,350.00276069310917
110733,1079,3,1,281,1071.9021382,4.165058116,350.0000000366781
110736,5302,11,1,158,5266.6016506,14.235295103,350.0015785052417
110738,4545,11,1,171,4520.7197052,14.019943996,350.00198725067287
110743,10000,20,1,200,9970.2507483,22.526717569,350.0030618000667
110744,4500,11,1,218,4482.4463438,13.227153046,350.00183815344633
110746,1000,4,0,-519,956.75296029,18.692537243,349.999999992683
110748,7600,17,1,331,7596.9839981,17.320422284,350.0034920106765
110749,24300,31,1,223,24238.538441,33.123903841,350.0020798541418
110751,3000,8,0,-642,2889.0940433,24.746065063,350.0000002498674
110752,4500,11,0,-578,4376.5937145,26.65734257,350.0000000428935
110753,6000,12,1,295,5989.0917837,12.926475984,350.001887172941
110755,2500,7,0,-604,2403.2332887,23.108775067,350.0000008622775
110756,24300,33,1,319,24286.65905,33.522461891,350.1968887098833
110757,27900,32,1,337,27892.226126,32.21714807,350.02200905489553
110758,2900,8,0,-199,2842.6350941,17.269433263,350.00003166592353
110761,33800,34,1,195,33680.23273,36.573256306,350.00608834614036
110762,14800,26,1,342,14797.945204,26.134651853,350.00559914073096
110780,1500,5,0,-440,1443.4168363,18.349533044,350.00000441357747
110783,1500,5,0,1,1475.0036745,10.897452812,350.0000399459159
110784,1500,5,1,129,1484.1710078,8.7344896273,350.00000222885114
110793,3411,7,1,146,3372.5636654,10.437122722,350.0000000293239
110794,9189,20,0,-509,9045.0400923,34.480564254,350.0000087741969
110798,2000,6,0,-516,1923.4559962,20.62763852,350.000001266309
110803,7000,14,1,319,6993.8516085,14.5222061,350.00168972382744
110809,9500,21,1,227,9480.012682,23.073797502,350.00375809521483
110818,500,4,0,-528,489.06612501,18.858590032,350.0000016175338
110820,543,4,0,263,541.72227608,5.472238218,350.0000089562302
110821,3000,8,0,-383,2918.0503352,20.37385654,350.0000000070755
110822,1500,5,0,-284,1454.5901287,15.713422631,350.0000005017947
110825,3241,9,0,-314,3172.5279234,20.211503202,350.0000395118924
110827,9000,20,0,-492,8864.611055,34.196412614,350.0000089199207
110828,3423,7,1,303,3414.0821473,7.7918867688,350.0016014436802
110835,122700,55,0,181,122090.02364,57.602373493,350.00006413965366
110836,700,2,1,329,697.95418902,2.3546419029,350.0006205721569
110837,1000,4,0,-488,958.29571994,18.168407606,349.99999999432623
110838,1200,5,0,-370,1166.9741869,17.174522902,350.000002156478
110839,4000,8,1,208,3971.837915,10.391935646,350.0014877759454
110840,2000,4,1,211,1972.4329083,6.3413771647,350.0000009309831
110841,1600,6,1,318,1598.1882079,6.5409945046,350.0029771058372
110842,43500,40,1,210,43371.03876,42.315374445,350.0026985849572
110844,2500,7,1,302,2495.1309538,7.8105526316,350.0028558634634
110845,43500,38,1,218,43365.609073,40.177605462,350.00036260198794
110847,139300,53,1,245,138791.70815,54.562333004,350.0168201577767
110848,6000,14,1,262,5987.1603813,15.484315293,350.0029149478446
110849,24300,32,1,118,24194.551424,35.882864768,350.0087300236046
110851,3000,8,1,297,2994.0743234,8.8947383556,350.00232887259494
110852,40400,38,1,227,40291.595297,40.03644683,350.01119467630906
110853,95400,51,1,69,94667.255393,55.446367524,350.0023298354099
110854,1800,4,1,0,1743.7219348,9.90112157,349.9999999967175
110855,14700,26,1,267,14678.980921,27.396195189,350.0022856759772
110856,4700,9,1,223,4672.5363682,11.138306953,350.00165231217386
110858,3500,9,0,-365,3414.0509836,21.067449396,350.00006198323376
110859,3500,9,0,-475,3400.8268795,22.923978362,349.9999999954148
110860,139300,60,1,85,128715.97442,59.999958478,350.00277408613056
110861,9200,20,0,-503,9056.7046119,34.37927491,350.0000089363987
110862,5400,13,1,277,5389.9918878,14.231606235,350.00399626735145
110864,7600,16,1,185,7570.4525889,18.780695522,350.00098698147076
110869,2000,6,1,193,1986.1230815,8.6518928914,350.00000005969355
110873,18200,32,1,268,18178.98791,33.379262324,350.0018529310678
110875,2000,6,1,307,1996.1991729,6.7263421496,350.0016301899193
110876,10000,19,1,96,9944.21335,23.276206929,350.00078120088415
110878,2000,6,1,286,1994.3430542,7.0810532699,350.0015900122751
110880,6000,14,0,315,5994.8932217,14.590365559,350.0019233334599
110882,83500,45,0,-432,81491.117402,57.386645323,350.0024413649053
110884,1000,4,0,244,994.72475899,5.7921853561,350.00000856026134
110885,4000,8,1,348,3999.599077,8.0340519734,350.02155567145803
110892,6000,14,0,-332,5900.4962482,25.503062614,350.0000074783411
110895,500,4,0,-216,492.95146109,13.578544332,349.99999996621125
110896,2000,6,1,78,1975.9584627,10.594362255,350.00000287734974
110898,71300,45,1,321,71244.671673,45.467739675,350.0156288599014
110903,6700,13,1,245,6677.880995,14.768167659,350.0029737666822
110904,3000,8,1,331,2997.875323,8.320812251,350.0042109364821
110905,1000,4,0,-506,957.39992395,18.472740944,350.000000017846
110906,11325,24,1,326,11320.757852,24.404531514,350.00269074071207
110907,500,4,0,-425,490.34874276,17.115497993,350.000000389
110909,5500,13,1,344,5499.1452881,13.101391509,350.01079700380603
110915,4500,11,1,305,4494.0154884,11.759293216,350.0027902979822
110916,2000,4,1,227,1975.6060987,6.0718661352,350.0000014763218
110918,500,4,0,-505,489.35254861,18.469355899,350.000001684464
110920,8173,16,1,130,8127.4709761,19.70498893,350.0009739320644
110921,5000,12,0,147,4971.9993208,15.42464087,350.00138209787065
110922,2600,8,0,278,2593.9494549,9.2163221051,350.0020420903977
110923,2226,5,1,342,2224.7396568,5.1350210866,350.00751880923576
110924,4100,10,1,329,4097.194567,10.354366491,350.0033710356797
110925,13800,25,1,265,13779.47542,26.430265134,350.00248318670947
110929,2000,6,0,-385,1935.0348098,18.414912581,350.0000002561021
110931,5000,10,1,225,4975.2092277,12.10558353,350.0016914746906
110932,2000,6,1,197,1986.4766335,8.5843287414,350.0000000656371
110938,9500,21,1,338,9498.0491974,21.202406829,350.00541547797025
110942,3988,10,1,15,3945.6574905,15.653100766,350.0000000364115
110944,5000,10,1,323,4994.6448795,10.454830608,350.00182434635076
110946,2500,7,0,-337,2430.3157893,18.600344296,350.00000000448597
110947,2452,7,0,241,2441.3632551,8.8407380494,350.0023545200884
110948,12930,22,1,98,12861.076198,26.236804224,350.002116638625
110952,8620,18,1,96,8573.7706486,22.280262246,350.00103897481404
110955,7000,16,1,322,6995.7430986,16.472234718,350.002422012981
110958,11000,20,1,-41,10906.268953,26.579333682,350.0010841428741
110960,5700,13,1,305,5693.1287612,13.758913853,350.00258265313107
110961,2600,6,1,137,2568.2314773,9.5923054797,350.00000159875503
110965,4300,11,1,124,4272.550444,14.814206612,350.00000014274974
110966,5000,10,1,279,4985.9183902,11.196004593,350.0029301686244
110969,3500,9,0,292,3493.0275823,9.978932677,350.0020621365811
110971,4200,11,0,71,4167.6664435,15.709347067,350.0000000986025
110972,7162,14,1,148,7120.0724324,17.401808784,350.0013503008847
110974,6500,15,1,311,6494.1829366,15.657779045,350.00195527176004
110987,2500,7,1,250,2489.8566408,8.688596911,350.002723719807
110988,3423,9,0,322,3419.7798596,9.4726792078,350.0027202462104
110992,11600,23,0,-369,11454.926639,35.110101931,350.0000001165972
110993,3000,6,1,130,2956.3686318,9.7057768111,350.00000169081454
110994,2500,7,1,250,2489.8566408,8.688596911,350.002723719807
110995,500,4,0,-238,492.67748961,13.950855243,349.99999999857766
110997,10000,21,1,280,9987.4015874,22.179708904,350.0031750326382
110998,1600,6,0,267,1595.3009982,7.4031398873,350.0038969250089
110999,24300,33,1,267,24264.502909,34.390043949,350.001423529422
111000,1100,5,1,243,1095.8751531,6.8096013202,350.0000001022687
111001,2500,7,1,174,2482.1478587,9.9718494859,350.0000000624584
111002,1000,4,0,-315,966.90598335,15.243426603,350.0000139416194
111004,3800,10,1,259,3789.5532793,11.536152716,350.00513990471813
111005,50800,39,1,265,50688.778816,40.391905516,350.00738693736184
111006,1000,2,1,257,981.55583064,3.5665329125,349.999999996421
111007,4300,11,1,271,4290.404164,12.333375836,350.0054047770907
111008,3000,8,0,-570,2897.1436682,23.530624855,350.0000001493205
111010,6600,15,0,-428,6480.3788819,28.119671868,350.0000096768882
