ClientId,Good,PredictedGood0,OptimizedClientScoreWithRoundedValues,LoanAmount0,LoanPeriod0,RoundedOptimizedLoanAmount,RoundedOptimizedLoanPeriod,Deviation,dLAmount,dLPeriod,Reject2Accept,,,,threshold
111027,1,294,354.3238848,27250,31,27200,32,0.000107088,0.1835%,3.2258%,1,1360,,,
116061,1,344,405.0750316,19180,33,19100,34,0.000107485,0.4171%,3.0303%,1,955,,,
112309,1,296,357.5757961,23200,33,23100,34,0.000108549,0.4310%,3.0303%,1,1155,,,
110757,1,337,398.5757961,27900,32,27800,33,0.000109218,0.3584%,3.1250%,1,1390,,,
110125,0,311,371.3238848,17250,31,17200,32,0.00011162,0.2899%,3.2258%,1,860,,,
100934,1,319,380.5757961,24300,32,24200,33,0.000112898,0.4115%,3.1250%,1,1210,,,
105166,1,312,373.5757961,24300,32,24200,33,0.000112898,0.4115%,3.1250%,1,1210,,,
107633,1,303,364.5757961,24300,32,24200,33,0.000112898,0.4115%,3.1250%,1,1210,,,
109347,1,344,405.5757961,24300,32,24200,33,0.000112898,0.4115%,3.1250%,1,1210,,,
111231,1,348,409.5757961,23900,32,23800,33,0.000113412,0.4184%,3.1250%,1,1190,,,
102451,1,324,385.5757961,23200,32,23100,33,0.000114377,0.4310%,3.1250%,1,1155,,,
117570,1,292,353.5757961,23200,32,23100,33,0.000114377,0.4310%,3.1250%,1,1155,,,
110063,0,298,359.5757961,21900,32,21800,33,0.000116421,0.4566%,3.1250%,1,1090,,,
113856,0,292,353.5757961,21900,32,21800,33,0.000116421,0.4566%,3.1250%,1,1090,,,
110058,1,333,394.5757961,18200,33,18100,34,0.000118998,0.5495%,3.0303%,1,905,,,
101251,1,309,370.5757961,24300,31,24200,32,0.0001193,0.4115%,3.2258%,1,1210,,,
109469,1,340,401.5757961,24300,31,24200,32,0.0001193,0.4115%,3.2258%,1,1210,,,
110079,1,328,389.5757961,24300,31,24200,32,0.0001193,0.4115%,3.2258%,1,1210,,,
107124,1,281,406.6554149,122700,58,122400,60,0.000124286,0.2445%,3.4483%,1,6120,,,
106692,1,318,379.5757961,18200,32,18100,33,0.000124827,0.5495%,3.1250%,1,905,,,
114860,1,305,366.5757961,20700,31,20600,32,0.000125062,0.4831%,3.2258%,1,1030,,,
